film,sinopsis,genre
Promoter in Paradise (Aug),tuti lulusan perguruan tinggi baru-baru ini dengan mimpi besar sedang berjuang untuk mendapatkan istirahat di pasar kerja anjing-makan-anjing - terutama dengan tekanan tambahan dari seorang ibu yang ingin memperhatikan dia menikah. setelah itu setelah pesta besar tuti secara tidak sengaja mendaratkan peran dengan event manager premier bali tina. sepertinya mimpi tuti mungkin dalam jangkauan tetapi tina dalam kesulitan pa maya nya telah membelot ke kubu oposisi. dengan acara besar hanya 2 hari lagi terserah tuti untuk memastikan makanan dan anggur tetap pada menu musik terus diputar dan ego dibelai. pahlawan muda kami dari burb bali melawan kekuatan yang bertekad kuat untuk memperhatikan dia gagal. tuti tidak hanya harus bertahan selama 48 jam ke depan tetapi juga melakukan pesta tahun ini agar impiannya tetap hidup.,Komedi
Satu Mawar Tiga Duri (Aug),"hendra (deddy mizwar), anak kerabat kaya tapi telat kawin. satu kali ia jatuh cinta pada rini (ita mustafa). repotnya rini tinggal bersama tiga pamannya yang masih bujangan dan jadi duri bagi hendra. masing-masing paman menghendaki rini kawin dengan pemain teater, petinju, atau penerjun. satu demi satu pamannya tadi dikelabui. yang menolong rini adalah bibinya yang menyalahkan paman-paman tadi hingga mereka sendiri belum kawin meski sudah cukup umur.",Komedi
Ngebut Kawin (Aug),"ones (ringgo agus rahman) adalah seorang sopir taksi di jakarta. ia kehidupan sederhana. namun, hal itu tidak menyurutkan semangatnya untuk mengurus kakaknya (engkong) (hengky solaiman), yang berusia 100 tahun, yang ...",Komedi
Horas Amang: Tiga Bulan Untuk Selamanya (Aug),"kisah sanak saudara yang tidak harmonis: amang atau ayah dan ketiga anaknya yang tidak berbakti. karena cinta kepada anak-anaknya, amang menggunakan cara yang tidak biasa untuk mengubah eksistensi mereka selamanya.",Komedi
Si Doel anak modern (Aug),ketika lulus sekolah si doel (benyamin s.) hanya bisa menganggur di kampung. usaha perjodohan yang dilakukan ibunya selalu ditolak. ia sangat mencintai nonon alias kristin (christine hakim) teman sekolahnya di kota yang sudah menjadi peragawati. pada akhirnya doel bisa merayu ibunya agar menjual tanah untuk usaha di kota. pertama-tama ia ikut usaha jual menebus mobil bersama kawannya sapi'i (farouk afero). kemudian datang kawan lama lain sinyo (wahab abdi) yang punya banyak istri dan juga sedang mendapatkan objek besar yaitu jual menebus tanah akan tetapi ingin menggunakan uang si doel. akhirnya oleh doel usaha mereka ini diberi syarat yaitu dengan mempertemukan doel dengan kristin. mereka tak mengira doel bersungguh-sungguh karena pada awalnya mereka hanya mempermainkan doel dengan mengajarinya menjadi modern dan doel hanya menurut saja. ketika memperhatikan pacar kristin achmad (ahmad albar) yang berambut kribo doel pun ikut ikutan. akan tetapi kristin lebih suka dengan doel yang lucu dan selalu bisa menghiburnya saat dia kesal dengan achmad pemusik rock yang playboy hingga hubungan mereka berdua selalu putus-sambung. saat putusnya doel diajak kristin ke bandung. karena hal ini doel merasa mendapat angin. sapii dan sinyo yang harus membayar uang muka pembelian tanah jadi bingung akibat ulah si doel. achmad juga bingung karena kristin bersama si doel. ia dan anak buahnya lalu berangkat ke bandung begitu juga dengan sapii dan sinyo. saat di bandung doel dikerubuti oleh anak buah achmad. kristin merelai dan akhirnya kembali ke achmad yang mengajaknya menikah. di pihak lain doel diseret sapii-sinyo untuk menyelesaikan pembayaran tanah. ternyata achmad digosipkan majalah akan kawin dengan gadis lain. kristin sangat marah akan hal tersebut. doel yang dengan usaha bersama kedua temannya merasa sudah merasa sukses mendatangi rumah kristin dengan arak-arakan. kristin kaget memperhatikan kenaifan doel yang menganggap dirinya hanya silau oleh harta. doel juga kaget karena ternyata dia salah menduga apa yang diinginkan oleh kristin dan maulu karenanya. akhirnya doel melarikan diri dengan mengendarai mobil samapai akhirnya mobil itu masuk ke jurang dan doel dirawat di rumah sakit. kepada ibunya doel mengatakan bahwa ia kapok menjadi modern tetapi kata-kata itu ditarik kembali saat memperhatikan kristin datang. sjuman memang bermaksud untuk mengejek sikap modern yang dilukiskannya dengan negatif: merebut istri orang memperisteri gadis kawan anaknya dan sebagainya. bahkan judul si doel anak modern juga sempat dicoret dan diganti si doel sok modern.,Komedi
Sweet 20 (Aug),"fatmawati (niniek l karim), nenek 70 tahun cerewet, tinggal bersama putra aditya (lukman sardi), dosen, menantunya salma (cut mini), dan dua cucu (kevin julio, alexa key). fatmawati selalu mengecewakan aditya, sampai saat mengetahui akan dikirim ke celana jompo. hal ini membuatnya sangat terpukul dan pergi dari rumah. dalam perjalanan ia menyaksikan studio foto “forever young”, dan berniat mengambil foto untuk pemakamannya kelak. setelah berfoto, fatmawati berubah menjadi 50 tahun lebih muda. fatmawati pun memulai kehidupan yang baru dan mengganti namanya menjadi mieke, seperti nama artis idolanya mieke wijaya. mieke mendapat kesempatan untuk meraih mimpinya menjadi penyanyi, sesuatu yang tidak bisa dilakukannya saat muda dulu. keunikan mieke dengan gaya bicara dan seleranya yang masih seperti nenek 70 tahun, justru membuat tiga laki-laki jatuh hati padanya: produser musik (morgan oey), cucu laki-lakinya, dan hamzah (slamet rahardjo) yang mencintainya sejak sama-sama muda dulu. suatu peristiwa terjadi. mieke harus memilih untuk melanjutkan kehidupan barunya, atau kembali menjadi fatmawati.",Komedi
Kawin kontrak lagi (Aug),"jody kini sudah beranjak kuliah. dirinya menjadi playboy dikalangan warga kampus dan menjadi panutan bagi tiga perjaka kampus, yakni fredo, hakim, dan menfo. ketiganya selalu mencoba mengikuti gaya-gaya jody dalam menjalankan kehidupan cintanya, tetapi kurang berhasil. selesai kuliah, jody mendapat telepon dari ibunya yang berkata bahwa ayah jody terlibat kasus korupsi. hal itu membuat jody tidak mempunyai aset dan terpaksa mengekos di rumah kos kecil dekat kampus. sohibnya dika dan rama di film pertama sudah bahagia. dika masih marah dengan jody yang merebut pacarnya, sedangkan rama dan isa akan menikah dan pindah ke australia. namun keduanya memberikan “sumbangan terakhir” bagi jody. ketika jody menaiki angkot, ia sadar bahwa sopir angkotnya adalah kang sono. kang sono terpaksa menyambung nasib sebagai sopir angkot setelah desa sukasararean digrebek karena usaha kawin kontrak yang dijalankan. dan sebuah telepon dari teh euis, berkata bahwa jody harus ke desa pakelonan untuk menemaninya. kang sono pergi kesana terlebih dahulu, ia mengutarakan maksud kawin kontrak kepada pimpinan yayasan penyalur perempuan pesona singagaung, maung, yang menerapkan sistem militer kepada seluruh perempuan yang ada di bawahnya. setelah terjadi kesepakatan, jody, fredo, hakim, dan merfo pergi ke desa pekalonan untuk kawin kontrak.disana, rupanya beragam perempuan disajikan. fredo memilih viva, seorang gadis penari. hakim memilih kokom, seorang gadis cermat. dan menfo memilih sassi, seorang perawan. malam dihabiskan fredo dan hakim dengan mendapat pemerasan karena selalu ditagih uang. sementara menfo yang mengidap ejakulasi dini, diberikan waktu oleh sassi untuk memperbaikinya. jika para pria tidak mampu membayar, maka mereka akan diberikan barandot, seekor makhluk buas yang disimpan di bawah tanah dengan makanan manusia, barandot adalah peliharaan maung. fredo dan hakim akhirnya pergi duluan meninggalkan desa karena tidak tahan. sementara menfo menyukai sassi yang ternyata telah dijual oleh orangtuanya demi melunasi pinjaman orangtuanya kepada maung. situasi menjadi pelik kala sassi kabur dan bersembunyi di rumah teh euis yang tengah hamil. teh euis kini nasib menjadi seorang pengurus salon dengan “pelunas ngidam”nya, yaitu si jody. sassipun akhirnya ditangkap untuk dijadikan perempuan yang akan dikirim menjadi pelacur di jakarta. sementara kang sono yang dianggap memberi bisnis baru bagi yayasan maung, diberikan jabatan sebagai pemasok para perempuan ke jakarta yang sebelumnya dipegang oleh fachri, penjahat yang menyengsarakan desa sukasararean. karena kurang berkutik, kang sonopun merasa tidak nyaman. pada hari dikirimkannya para perempuan ke jakarta yang dikendalikan oleh sus miranda, teh euis, kang sono, jody, dan pacar jody yang datang, giselle, membantu memerdekakan para perempuan itu. berkat trik hamil teh euis, kang sono, jody, dan giselle berhasil masuk. giselle dan jody pergi ke para penyiap baju seragam dan menghajar mereka, lalu memasukkan ulat bulu. sementara kang sono pergi mencari sassi dan menfo yang ikut ditahan bersama sassi karena dianggap membantu kaburnya sassi.kemudian, di saat serah-terima kloter perempuan oleh maung, semua perempuan gatal karena ulat bulu dan berlarian. jeng miranda menganggap kloter itu gagal, tetapi masih menyimpan sassi. sassi, menfo, kang sono, giselle dan jody yang ingin kabur ditangkap oleh anak buah maung. kecuali sassi, yang lain akan dikorbankan satu-persatu ke barandot. lalu, teh euis datang dengan membawa keris kecil yang diterimanya dari seorang nenek yang ternyata memberikan kekuatan, menghancurkan seluruh anak buah maung dan maung dalam sekejap. saat itu seluruh polisi yang menyamar sebagai warga mengungkapkan jati diri dan menyergap maung dan rombongan. film diakhiri dengan hakim yang kembali dari kota dan menfo yang keluar dari lubang barandot dan berhasil membunuh. lalu teh euis melahirkan dan mengatakan bahwa anak dia adalah anak kang sono dan jody, tetapi kenyataannya anak teh euis kembar dan keduanya mirip dengan abuba, yang padahal dikatakan oleh teh euis telah dikebiri.",Komedi
Dimsum Martabak (Aug),"mona (ayu ting ting) bekerja sebagai tangan kanan koh ah yong (chew kin wah) di restoran cina, the king's, yang menyajikan dimsum sebagai menu utamanya. istri kedua, koh ah yong cemburu, hingga mona dipecat. terpaksa mona harus mencari pekerjaan lain karena sejak ayahnya meninggal, mona menjadi os punggung keluarga. apalagi ibu mona (meriam bellina) sakit dan adiknya yang masih kuliah. mona bekerja serabutan hingga bertemu dengan soga (boy william) dan anak buahnya, dudi (acho muhadkly) yang membuka bisnis foodtruck martabak. soga mengajak mona untuk membantu usahanya. pada awalnya, mereka selalu bertengkar karena pola kerja yang berbeda. mona menganggap soga tidak serius mengelola bisnisnya, sementara soga merasa mona terlalu dominan dalam mengatur segalanya. ketika akur, hubungan kerja telah berkembang menjadi hubungan suka. namun, soga menahan diri. dia merahasiakan identitas dirinya. dia adalah soga guntara, putra mahkota miliarder eric guntara (ferry salim) dan sandra guntara (olga lydia). dia ragu apakah ketika mona tahu, dia akan dengan tulus mencintai soga? soga juga ragu apakah keluarganya nanti bisa menerima mona?",Komedi
Stip & Pensil (Aug),tony aghi bubu dan saras adalah anak anak orang kaya yang dimusuhi anak anak di smu sekolahnya. karena dibanding yang lain mereka selalu merasa sok jago dan songong. suatu hari mereka mendapat tugas esai untuk menulis masalah sosial dari pak adam. alih-alih menulis esai mereka malah sok membuat tindakan yang lebih kongkrit dengan membangun sekolah untuk anak-anak orang miskin di kolong jembatan. awalnya mereka menganggap hal itu enteng tapi ternyata hal itu tidak melebihi yang mereka bayangkan. karena banyak sekali lingkungan di sekitar yang menghadang. mulai dari kepala suku pemulung disana pak toro si anak kecil yang bengal ucok dan mak rambe emaknya ucok yang gak setuju anaknya ikut sekolah gratis yang diadakan toni cs. belum lagi ledekan rekan rekan di sekolahnya yang diketuai oleh edwin yang selalu meremehkan mereka.,Komedi
Love Is Blind (Aug),"seorang pemandu wisata di busan, korea selatan harus menghadapi kenyataan kehidupan tanpa cinta, harapan, dan juga tanpa penglihatan, setelah ia pingsan karena hubungannya yang kandas. dalam depresi, seorang cowok datang dan selalu memberi optimisme dan semangat.",Komedi
Tulalit (Aug),"setelah mengamati perilaku anehnya, sosialita kaya raya yang terobsesi pada dirinya sendiri, meriam, yakin bahwa putranya, edric, adalah seorang gay. sahabat edric, ry, meyakinkannya untuk membingkai foto dari sebuah majalah dan berpura-pura...",Komedi
Jomblo (Aug),empat sahabat kuliah berbagi kehidupan lucu mereka di bangku universitas. mereka bertemu dengan seorang gadis yang mengajarkan mereka tentang cinta dan pengkhianatan.,Komedi
Hijab (Aug),"empat sahabat karib ini awalnya adalah gadis mandiri. setelah tiga dari mereka menikah, mereka menjadi istri yang selalu melayani suami mereka dan memutuskan untuk mengenakan jilbab dalam berbagai ...",Komedi
Perempuan2 Liar (Aug),"dua debt collector paling berdosa!! dom dan mino tak sengaja bertemu perempuan gila mey dan cindy. dom dan mino terjebak permainan gila mey dan cindy. mereka membawa kabur mey dari pernikahan. tragedi pengantin kabur ini membuat ayah mey dan cindy semakin murka.mey dan cindy, adalah anak konglomerat jakarta yang manja, doyan pesta pora, bayaran dan gila duit. ayah mereka akhirnya memblokir kartu kredit serta semua koneksi dan fasilitas. ayah cindy dan mey kerahkan semua anak buahnya, termasuk gary -- calon pertunangan mey -- memburu dom dan mino.petualangan gila mereka jalani, mulai dari mengambil makanan dari super market sampai perpisahan orangtua mey dan cindy. semua ide gila mey dan cindy. dan dalam pengungsi itulah, mey menyaksikan sisi menarik dari dom. keduanya jatuh hati. sayang dom sudah dijodohkan. pelarian mereka ke kampung dom, justru mempercepat proses pernikahan dom dan jodoh pilihan bapaknya. mey patah hati. masalah makin ruwet ketika gary menyandera ayah dom dan mino. sejak awal, gary tidak pernah mencintai mey, ia hanya memberikan uang hasil pemerasan mey kepada orangtuanya.",Komedi
Horas Amang: Tiga Bulan Untuk Selamanya (Aug),"kisah sanak saudara yang tidak harmonis: amang atau ayah dan ketiga anaknya yang tidak berbakti. karena cinta kepada anak-anaknya, amang menggunakan cara yang tidak biasa untuk mengubah eksistensi mereka selamanya.",Komedi
Kukejar Cinta ke Negeri Cina (Aug),"imam (adipati dolken) bertemu dengan chen jia li (eriska rein), seorang perempuan muslim asal tiongkok dan jatuh cinta padanya. imam ingin mengungkapkan cintanya kepada chen jia li, tetapi chen jia li sudah kembali ke tiongkok untuk bertunangan.",Komedi
Shy Shy Cat (Aug),"mira (nirina zubir) sudah sukses membangun arsitektur di jakarta. di ulang tahunnya ke 30, abah (budi dalton), jawara kampung pemilik padepokan silat, menagih janji agar mira pulang ke desa sindang barang untuk dijodohkan dengan otoy (fedi nuril), sahabat masa kecilnya. mira tidak mau pulang kampung karena merasa desanya tidak maju-maju. apalagi dijodohkan dengan otoy, anak yang seingatnya menyebalkan.mira dibantu dua sahabatnya, jessy (acha septriasa) dan umi (tika bravani), bermaksud menggagalkan perjodohan itu.namun saat kembali ke desa sindang barang, mira, jessy dan umi mendapati semua kondisi sudah berubah . mereka dihadapkan dengan pilihan sulit yang menguji persahabatan mereka setelah menyaksikan otoy sekarang.",Komedi
